,N,Посада,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Ще студент,Рівень англійської,Дата заповнення,User.Agent,exp,current_job_exp,salary,Мова програмування
1692,1693,Senior Software Engineer,9,3,4100,0,Віддалено,до 10 осіб,Стартап,чоловіча,29,Вища,False,Advanced (просунутий),12/06/2017 22:39:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",9.0,3.0,4100,Ruby/Rails
1693,1694,Senior Software Engineer,10 і більше років,2,2480,400,Інше,більше 1000 осіб,Аутсорсингова,чоловіча,30,Вища,False,Intermediate (середній),12/06/2017 22:40:37,"Mozilla/5.0 (Linux; Android 6.0; HUAWEI CAN-L11 Build/HUAWEICAN-L11) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,2.0,2480,C#/.NET
1694,1695,Junior Software Engineer,5,1.5,550,200,Львів,до 1000 осіб,Продуктова,чоловіча,37,Дві вищих,False,Intermediate (середній),12/06/2017 22:40:54,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",5.0,1.5,550,Other
1695,1696,Junior Software Engineer,0.5,0.5,600,600,Київ,до 200 осіб,Продуктова,чоловіча,21,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 22:41:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",0.5,0.5,600,Python
1696,1697,Senior Software Engineer,3,3,3500,1100,Київ,до 200 осіб,Продуктова,чоловіча,27,Вища,False,Intermediate (середній),12/06/2017 22:41:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,3500,JavaScript
1697,1698,Senior Software Engineer,8,3,4500,300,Київ,до 1000 осіб,Продуктова,чоловіча,33,Вища,False,Pre-intermediate (нище середнього),12/06/2017 22:41:27,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/M4B30Z) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",8.0,3.0,4500,Java
1698,1699,Software Engineer,2,менше 3 місяців,1700,600,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 22:41:33,"Mozilla/5.0 (Linux; Android 5.0.2; Redmi Note 3 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,0.0,1700,Java
1699,1700,Junior Software Engineer,1.5,1,880,500,Київ,до 200 осіб,Продуктова,чоловіча,27,Кандидат,False,Intermediate (середній),12/06/2017 22:41:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1.5,1.0,880,PHP
1700,1701,Junior Software Engineer,1.5,0.25,600,250,Харків,до 50 осіб,Аутсорсингова,чоловіча,33,Вища,False,Elementary (початковий),12/06/2017 22:41:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",1.5,0.25,600,PHP
1702,1703,Software Engineer,1,1,1400,900,Київ,до 50 осіб,Продуктова,чоловіча,20,Неповна Вища,False,Intermediate (середній),12/06/2017 22:43:26,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,1400,Java
1704,1705,Junior Software Engineer,1,1,400,50,Суми,до 10 осіб,Аутсорсингова,чоловіча,21,Вища,True,Pre-intermediate (нище середнього),12/06/2017 22:46:22,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,400,JavaScript
1706,1707,Data Scientist / Data Analyst,1.5,менше 3 місяців,2700,300,Львів,до 50 осіб,Стартап,чоловіча,35,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 22:47:41,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.0,2700,Java
1707,1708,Junior Software Engineer,1,менше 3 місяців,1200,1000,Івано-Франківськ,більше 1000 осіб,Аутсорсингова,чоловіча,21,Вища,True,Upper-Intermediate (вище середнього),12/06/2017 22:48:44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,1200,C#/.NET
1709,1710,Software Engineer,4,2,2000,0,Київ,до 50 осіб,Продуктова,чоловіча,32,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 22:51:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",4.0,2.0,2000,Java
1710,1711,Junior Software Engineer,1,1,1100,500,Київ,до 50 осіб,Продуктова,чоловіча,34,Вища,False,Intermediate (середній),12/06/2017 22:51:21,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",1.0,1.0,1100,Java
1711,1712,Technical Lead,7,3,4350,200,Київ,до 200 осіб,Аутсорсингова,чоловіча,28,Вища,False,Intermediate (середній),12/06/2017 22:51:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",7.0,3.0,4350,Java
1712,1713,Junior Software Engineer,1.5,1.5,1600,400,Дніпро,до 200 осіб,Продуктова,жіноча,22,Вища,False,Intermediate (середній),12/06/2017 22:52:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,1600,JavaScript
1715,1716,Senior Software Engineer,5,менше 3 місяців,3800,1330,Київ,до 50 осіб,Продуктова,чоловіча,28,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 22:52:53,"Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/59.0.3071.84 Mobile/14D27 Safari/602.1",5.0,0.0,3800,C#/.NET
1717,1718,Senior Software Engineer,6,5,1700,300,Київ,до 10 осіб,Аутсорсингова,чоловіча,28,Середня,False,Advanced (просунутий),12/06/2017 22:53:23,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063",6.0,5.0,1700,C#/.NET
1718,1719,Software Engineer,3,0.25,1800,600,Київ,до 200 осіб,Продуктова,чоловіча,22,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 22:53:56,"Mozilla/5.0 (Linux; Android 5.1; m2 Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/40.0.2214.114 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/127.0.0.22.69;]",3.0,0.25,1800,Java
1722,1723,Junior Software Engineer,0.5,0.5,600,0,Запоріжжя,до 50 осіб,Аутсорсингова,чоловіча,33,Вища,False,Advanced (просунутий),12/06/2017 22:56:09,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,600,PHP
1724,1725,Software Engineer,2,менше 3 місяців,1000,400,Миколаїв,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,False,Intermediate (середній),12/06/2017 22:56:15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,1000,JavaScript
1725,1726,Software Engineer,5,0.25,2600,400,Київ,до 50 осіб,Аутсорсингова,чоловіча,41,Вища,False,Pre-intermediate (нище середнього),12/06/2017 22:56:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.25,2600,Java
1727,1728,Junior Software Engineer,1.5,менше 3 місяців,500,400,Миколаїв,до 1000 осіб,Аутсорсингова,чоловіча,20,Вища,True,Intermediate (середній),12/06/2017 22:57:35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.0,500,PHP
1728,1729,Junior Software Engineer,1.5,менше 3 місяців,1000,700,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,True,Pre-intermediate (нище середнього),12/06/2017 22:57:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30",1.5,0.0,1000,Objective-C
1731,1732,Junior Software Engineer,1,0.5,265,77,Київ,до 10 осіб,Продуктова,чоловіча,19,Неповна Вища,True,Intermediate (середній),12/06/2017 22:58:03,"Mozilla/5.0 (Linux; Android 5.0.2; LG-D802 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.5,265,JavaScript
1732,1733,Software Engineer,2,2,1500,500,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,29,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 22:58:15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1500,C#/.NET
1733,1734,Junior Software Engineer,1,1,400,400,Харків,до 10 осіб,Аутсорсингова,чоловіча,21,Вища,True,Pre-intermediate (нище середнього),12/06/2017 22:59:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",1.0,1.0,400,Python
1734,1735,Junior Software Engineer,2,1,700,400,Дніпро,до 10 осіб,Аутсорсингова,чоловіча,36,Дві вищих,False,Pre-intermediate (нище середнього),12/06/2017 22:59:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,700,PHP
1735,1736,Junior Software Engineer,менше 3 місяців,менше 3 місяців,500,0,Одеса,до 200 осіб,Продуктова,чоловіча,20,Неповна Вища,True,Intermediate (середній),12/06/2017 22:59:32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",0.0,0.0,500,Swift
1736,1737,Software Engineer,4,1.5,2500,800,Одеса,до 200 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),12/06/2017 22:59:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,1.5,2500,PHP
1738,1739,Senior Software Engineer,6,6,2900,0,Луцьк,до 200 осіб,Аутсорсингова,чоловіча,25,Неповна Вища,False,Intermediate (середній),12/06/2017 23:01:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,6.0,2900,PHP
1741,1742,Junior Software Engineer,1.5,1.5,800,200,Харків,до 50 осіб,Аутсорсингова,чоловіча,23,Вища,False,Intermediate (середній),12/06/2017 23:02:17,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.5,1.5,800,C#/.NET
1742,1743,Software Engineer,1.5,2,1500,700,Одеса,до 50 осіб,Аутсорсингова,чоловіча,24,Вища,False,Intermediate (середній),12/06/2017 23:02:35,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 5X Build/N2G47O) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,2.0,1500,JavaScript
1743,1744,Software Engineer,1.5,1.5,1500,1000,Одеса,до 50 осіб,Аутсорсингова,чоловіча,24,Вища,False,Intermediate (середній),12/06/2017 23:02:44,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 5X Build/N2G47W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.5,1500,Java
1744,1745,Senior Software Engineer,5,0.25,3500,500,Київ,до 200 осіб,Продуктова,чоловіча,27,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 23:03:45,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPad5,4;FBMD/iPad;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/0]",5.0,0.25,3500,Swift
1746,1747,System Architect,10 і більше років,1.5,5500,0,Київ,до 1000 осіб,Аутсорсингова,чоловіча,35,Вища,False,Advanced (просунутий),12/06/2017 23:04:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,1.5,5500,Java
1747,1748,Junior Software Engineer,1,1,715,400,Харків,до 200 осіб,Аутсорсингова,чоловіча,20,Вища,True,Intermediate (середній),12/06/2017 23:04:49,"Mozilla/5.0 (Linux; Android 5.1; m3 note Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,715,JavaScript
1748,1749,Software Engineer,1.5,1.5,700,200,Київ,до 10 осіб,Стартап,жіноча,23,Вища,False,Intermediate (середній),12/06/2017 23:05:15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",1.5,1.5,700,Python
1749,1750,Senior Software Engineer,5,0.5,2800,400,Київ,до 1000 осіб,Продуктова,чоловіча,27,Вища,False,Intermediate (середній),12/06/2017 23:05:26,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,5.0,0.5,2800,Java
1751,1752,Software Engineer,2,менше 3 місяців,1777,500,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,27,Неповна Вища,False,Pre-intermediate (нище середнього),12/06/2017 23:05:36,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,0.0,1777,C#/.NET
1752,1753,Software Engineer,2,0.25,1000,500,Київ,до 50 осіб,Аутстафінгова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 23:05:45,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,0.25,1000,JavaScript
1754,1755,Software Engineer,4,1,2000,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,31,Вища,False,Intermediate (середній),12/06/2017 23:06:14,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,4.0,1.0,2000,C++
1756,1757,Senior Software Engineer,10 і більше років,1,4000,1700,Київ,до 200 осіб,Продуктова,чоловіча,30,Вища,False,Intermediate (середній),12/06/2017 23:06:59,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",10.0,1.0,4000,Java
1759,1760,Technical Lead,10 і більше років,1.5,3700,100,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,32,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 23:08:10,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",10.0,1.5,3700,Java
1762,1763,Software Engineer,3,1,1500,700,Київ,до 10 осіб,Аутстафінгова,чоловіча,22,Вища,True,Intermediate (середній),12/06/2017 23:08:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",3.0,1.0,1500,JavaScript
1765,1766,Software Engineer,3,менше 3 місяців,2500,900,Київ,до 10 осіб,Продуктова,чоловіча,25,Вища,False,Pre-intermediate (нище середнього),12/06/2017 23:14:36,"Mozilla/5.0 (Linux; Android 5.1; MX5 Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,0.0,2500,Ruby/Rails
1766,1767,Senior Software Engineer,10 і більше років,1.5,4000,0,Київ,до 50 осіб,Продуктова,чоловіча,34,Вища,False,Intermediate (середній),12/06/2017 23:17:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,1.5,4000,C#/.NET
1769,1770,Software Engineer,2,0.5,2000,1000,Дніпро,до 10 осіб,Продуктова,чоловіча,35,Вища,False,Intermediate (середній),12/06/2017 23:18:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",2.0,0.5,2000,Erlang
1770,1771,Software Engineer,4,2,2000,200,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),12/06/2017 23:19:16,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,2.0,2000,C#/.NET
1771,1772,Software Engineer,2,1.5,1100,300,Львів,до 50 осіб,Аутсорсингова,чоловіча,29,Вища,False,Intermediate (середній),12/06/2017 23:19:30,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.5,1100,PHP
1773,1774,Software Engineer,3,1.5,1500,400,Харків,до 50 осіб,Аутсорсингова,чоловіча,30,Вища,False,Pre-intermediate (нище середнього),12/06/2017 23:23:42,"Mozilla/5.0 (Linux; Android 5.0; Lenovo TAB 2 A8-50F Build/LRX21M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Safari/537.36",3.0,1.5,1500,PHP
1775,1776,Software Engineer,4,0.25,2500,1000,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,31,Кандидат,False,Intermediate (середній),12/06/2017 23:25:03,Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0,4.0,0.25,2500,JavaScript
1776,1777,Junior Software Engineer,1,1,1000,1000,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,24,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 23:25:20,"Mozilla/5.0 (Linux; Android 7.0; SM-G955F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,1000,Java
1777,1778,Software Engineer,4,4,500,100,Полтава,до 50 осіб,Аутсорсингова,чоловіча,24,Вища,False,Intermediate (середній),12/06/2017 23:25:41,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,4.0,500,PHP
1778,1779,Software Engineer,0.5,менше 3 місяців,2000,400,Київ,до 200 осіб,Продуктова,чоловіча,23,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 23:26:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.0,2000,Swift
1780,1781,Junior Software Engineer,1,0.5,650,300,Львів,до 200 осіб,Аутстафінгова,чоловіча,25,Неповна Вища,False,Intermediate (середній),12/06/2017 23:26:47,"Mozilla/5.0 (Linux; Android 5.1; m3 note Build/LMY47I; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/44.0.2403.140 Mobile Safari/537.36",1.0,0.5,650,JavaScript
1782,1783,Software Engineer,8,1,2100,400,Київ,до 200 осіб,Аутсорсингова,чоловіча,33,Вища,False,Intermediate (середній),12/06/2017 23:27:07,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,1.0,2100,Java
1784,1785,Senior Software Engineer,7,1,3450,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,30,Вища,False,Intermediate (середній),12/06/2017 23:29:00,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,1.0,3450,C#/.NET
1785,1786,Senior Software Engineer,10 і більше років,4,2800,200,Вінниця,до 1000 осіб,Аутстафінгова,чоловіча,30,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 23:29:03,"Mozilla/5.0 (Linux; U; Android 4.4.4; ru-ru; MI 4LTE Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.85 Mobile Safari/537.36 XiaoMi/MiuiBrowser/8.1.6",10.0,4.0,2800,JavaScript
1786,1787,Junior Software Engineer,1.5,0.5,460,0,Харків,до 1000 осіб,Аутсорсингова,чоловіча,44,Вища,False,Pre-intermediate (нище середнього),12/06/2017 23:29:18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36 OPR/37.0.2192.105088",1.5,0.5,460,Java
1790,1791,Junior Software Engineer,1,1,600,350,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,False,Pre-intermediate (нище середнього),12/06/2017 23:31:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36 OPR/45.0.2552.812",1.0,1.0,600,Java
1791,1792,Software Engineer,3,1,1800,500,Львів,до 50 осіб,Продуктова,чоловіча,31,Вища,False,Pre-intermediate (нище середнього),12/06/2017 23:33:16,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",3.0,1.0,1800,Ruby/Rails
1792,1793,Software Engineer,3,1,1250,100,Харків,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,False,Intermediate (середній),12/06/2017 23:33:52,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,1250,JavaScript
1795,1796,Senior Software Engineer,8,1,2450,0,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,31,Вища,False,Intermediate (середній),12/06/2017 23:34:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,1.0,2450,C#/.NET
1798,1799,Senior Software Engineer,7,2,3510,260,Київ,до 50 осіб,Продуктова,чоловіча,27,Вища,False,Intermediate (середній),12/06/2017 23:37:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.24 Safari/537.36",7.0,2.0,3510,JavaScript
1800,1801,Software Engineer,3,1,1500,300,Харків,до 50 осіб,Аутстафінгова,чоловіча,26,Вища,False,Intermediate (середній),12/06/2017 23:39:24,"Mozilla/5.0 (Linux; Android 5.1.1; Redmi 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,1.0,1500,JavaScript
1801,1802,Software Engineer,2,2,900,450,Черкаси,до 10 осіб,Продуктова,чоловіча,21,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 23:39:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,900,Swift
1802,1803,Software Engineer,1,менше 3 місяців,700,500,Одеса,до 50 осіб,Продуктова,чоловіча,23,Вища,True,Upper-Intermediate (вище середнього),12/06/2017 23:40:43,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.21 Safari/537.36 MMS/1.0.2531.0",1.0,0.0,700,JavaScript
1803,1804,Junior Software Engineer,0.25,0.25,370,0,Львів,до 10 осіб,Аутсорсингова,чоловіча,27,Дві вищих,False,Pre-intermediate (нище середнього),12/06/2017 23:40:51,"Mozilla/5.0 (Linux; Android 5.1; m3 note Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.25,0.25,370,JavaScript
1804,1805,Junior Software Engineer,2,1.5,1000,400,Київ,до 50 осіб,Аутстафінгова,чоловіча,23,Вища,True,Intermediate (середній),12/06/2017 23:41:10,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.5,1000,C#/.NET
1805,1806,Software Engineer,3,менше 3 місяців,1400,300,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,32,Вища,False,Intermediate (середній),12/06/2017 23:43:40,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.0,1400,Java
1807,1808,Senior Software Engineer,5,1.5,5000,1000,Одеса,до 200 осіб,Продуктова,чоловіча,26,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 23:43:59,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",5.0,1.5,5000,Objective-C
1808,1809,Technical Lead,10 і більше років,3,3300,300,Дніпро,до 50 осіб,Продуктова,чоловіча,35,Вища,False,Pre-intermediate (нище середнього),12/06/2017 23:44:46,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MMB29V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,3.0,3300,PHP
